country,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
Australia,4,0,0,0,16,98,1,0,6,2,0,11,1,60,0,3,6,4,0,5
Canada,29,1,1,0,38,194,7,0,16,2,0,41,16,123,4,9,59,15,13,17
China,66,1,0,1,34,270,3,14,2,9,0,20,2,72,5,2,99,81,6,34
France,61,4,24,17,106,298,21,61,55,61,7,57,133,190,34,5,143,92,42,102
Germany,17,1,8,7,10,93,4,24,8,26,7,31,51,61,4,3,55,22,14,13
Hong Kong,9,0,0,0,28,89,11,0,14,6,0,30,17,48,8,1,20,12,6,36
India,60,0,2,0,131,190,48,4,21,55,1,112,16,174,7,12,87,98,6,32
International,15,0,1,6,21,71,6,9,20,20,6,21,11,38,9,3,36,18,24,21
Iran,63,1,0,0,28,156,25,0,25,12,0,9,19,98,14,1,67,85,5,53
Israel,72,0,1,0,126,135,6,1,22,10,1,23,39,64,21,21,72,58,10,69
Japan,14,0,0,0,11,81,2,0,3,2,2,26,8,55,0,1,38,13,1,20
Pakistan,20,0,0,0,36,90,8,0,7,2,0,6,5,34,3,0,25,14,2,7
Qatar,12,2,2,6,24,56,3,28,3,20,5,39,28,76,10,10,46,9,5,17
Russia,123,0,1,0,65,87,18,3,12,94,1,1,25,152,6,0,37,43,4,17
Saudi Arabia,31,0,3,0,49,60,21,4,35,53,2,53,31,71,39,2,53,51,8,56
Signapore,39,0,0,0,28,69,8,2,6,1,0,63,5,100,0,8,14,21,2,6
Spain,41,0,0,0,28,79,0,2,6,12,0,7,14,43,6,3,25,30,4,30
United Kingdom,260,41,22,13,275,1141,47,35,140,227,48,230,243,835,116,45,372,210,73,272
United States,220,57,15,10,578,1265,121,62,166,39,42,436,274,686,162,79,451,211,81,339
