month,outlet_name,conflict_name,death_reporting_count,human_rights_violations_count,id,death_report_percentage,hr_violation_percentage
2020-01,Associated Press (AP),Israel-Palestine Conflict,2.0,2.0,2,100.0,100.0
2020-01,Bloomberg,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-01,BuzzFeed News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-01,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,0.0,3,0.0,0.0
2020-01,Council on Foreign Relations,Israel-Palestine Conflict,3.0,6.0,3,100.0,200.0
2020-01,Council on Foreign Relations,Russian Invasion of Ukraine,0.0,1.0,1,0.0,100.0
2020-01,Der Spiegel,Israel-Palestine Conflict,28.0,4.0,6,466.6666666666667,66.66666666666666
2020-01,Der Spiegel,Russian Invasion of Ukraine,3.0,10.0,3,100.0,333.33333333333337
2020-01,Deutsche Welle,Israel-Palestine Conflict,0.0,2.0,1,0.0,200.0
2020-01,El Confidencial,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0
2020-01,Financial Times,Israel-Palestine Conflict,4.0,5.0,3,133.33333333333331,166.66666666666669
2020-01,Foreign Policy,Israel-Palestine Conflict,23.0,5.0,2,1150.0,250.0
2020-01,France 24,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-01,Human Rights Watch reports,Israel-Palestine Conflict,3.0,0.0,1,300.0,0.0
2020-01,Just Security,Russian Invasion of Ukraine,1.0,0.0,1,100.0,0.0
2020-01,Kommersant,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0
2020-01,La Croix,Israel-Palestine Conflict,4.0,1.0,2,200.0,50.0
2020-01,Los Angeles Times,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-01,NPR,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0
2020-01,RT (Russia Today),Israel-Palestine Conflict,23.0,2.0,5,459.99999999999994,40.0
2020-01,Sky News,Israel-Palestine Conflict,11.0,2.0,1,1100.0,200.0
2020-01,TASS,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-01,Tasnim News Agency,Israel-Palestine Conflict,3.0,2.0,3,100.0,66.66666666666666
2020-01,The Atlantic,Russian Invasion of Ukraine,0.0,0.0,1,0.0,0.0
2020-01,The Daily Telegraph,Israel-Palestine Conflict,3.0,0.0,1,300.0,0.0
