outlet_id,conflict_id,mention_count,leader,context
1,1,869.0,Putin,overall
1,14,23.0,Putin,overall
2,1,149.0,Putin,overall
2,14,22.0,Putin,overall
3,1,821.0,Putin,overall
3,14,16.0,Putin,overall
4,1,513.0,Putin,overall
4,14,29.0,Putin,overall
5,1,563.0,Putin,overall
5,14,25.0,Putin,overall
6,1,651.0,Putin,overall
6,14,47.0,Putin,overall
7,1,784.0,Putin,overall
7,14,22.0,Putin,overall
8,1,491.0,Putin,overall
8,14,27.0,Putin,overall
9,1,524.0,Putin,overall
9,14,56.0,Putin,overall
10,1,557.0,Putin,overall
10,14,30.0,Putin,overall
11,14,0.0,Putin,overall
12,1,77.0,Putin,overall
12,14,24.0,Putin,overall
13,1,666.0,Putin,overall
13,14,47.0,Putin,overall
14,1,729.0,Putin,overall
14,14,1.0,Putin,overall
15,1,244.0,Putin,overall
15,14,0.0,Putin,overall
16,1,599.0,Putin,overall
16,14,20.0,Putin,overall
17,1,63.0,Putin,overall
17,14,30.0,Putin,overall
18,1,678.0,Putin,overall
18,14,48.0,Putin,overall
19,1,610.0,Putin,overall
19,14,48.0,Putin,overall
20,1,574.0,Putin,overall
20,14,6.0,Putin,overall
21,1,632.0,Putin,overall
21,14,23.0,Putin,overall
22,1,607.0,Putin,overall
22,14,15.0,Putin,overall
23,1,724.0,Putin,overall
23,14,16.0,Putin,overall
24,1,470.0,Putin,overall
24,14,23.0,Putin,overall
25,1,628.0,Putin,overall
25,14,26.0,Putin,overall
26,1,761.0,Putin,overall
26,14,74.0,Putin,overall
27,1,639.0,Putin,overall
27,14,17.0,Putin,overall
28,1,700.0,Putin,overall
28,14,41.0,Putin,overall
29,1,626.0,Putin,overall
29,14,50.0,Putin,overall
30,1,653.0,Putin,overall
30,14,3.0,Putin,overall
31,1,298.0,Putin,overall
31,14,4.0,Putin,overall
32,1,26.0,Putin,overall
32,14,6.0,Putin,overall
33,1,420.0,Putin,overall
33,14,16.0,Putin,overall
34,1,372.0,Putin,overall
34,14,3.0,Putin,overall
35,1,724.0,Putin,overall
35,14,20.0,Putin,overall
37,1,170.0,Putin,overall
37,14,5.0,Putin,overall
38,1,415.0,Putin,overall
38,14,6.0,Putin,overall
39,1,449.0,Putin,overall
39,14,18.0,Putin,overall
40,1,3.0,Putin,overall
41,1,549.0,Putin,overall
41,14,21.0,Putin,overall
42,1,650.0,Putin,overall
42,14,2.0,Putin,overall
43,1,703.0,Putin,overall
43,14,10.0,Putin,overall
44,1,685.0,Putin,overall
44,14,6.0,Putin,overall
45,1,84.0,Putin,overall
45,14,0.0,Putin,overall
46,1,581.0,Putin,overall
46,14,10.0,Putin,overall
47,1,783.0,Putin,overall
47,14,6.0,Putin,overall
48,1,727.0,Putin,overall
48,14,30.0,Putin,overall
49,1,735.0,Putin,overall
49,14,0.0,Putin,overall
50,1,720.0,Putin,overall
50,14,3.0,Putin,overall
51,1,651.0,Putin,overall
51,14,7.0,Putin,overall
52,1,715.0,Putin,overall
52,14,4.0,Putin,overall
53,1,587.0,Putin,overall
53,14,4.0,Putin,overall
54,1,50.0,Putin,overall
54,14,0.0,Putin,overall
55,1,569.0,Putin,overall
55,14,4.0,Putin,overall
56,1,245.0,Putin,overall
56,14,4.0,Putin,overall
57,1,85.0,Putin,overall
57,14,0.0,Putin,overall
58,1,279.0,Putin,overall
58,14,2.0,Putin,overall
59,1,84.0,Putin,overall
59,14,9.0,Putin,overall
60,1,676.0,Putin,overall
60,14,7.0,Putin,overall
61,1,168.0,Putin,overall
61,14,23.0,Putin,overall
62,1,631.0,Putin,overall
62,14,17.0,Putin,overall
63,1,3.0,Putin,overall
63,14,0.0,Putin,overall
64,1,675.0,Putin,overall
64,14,37.0,Putin,overall
65,1,587.0,Putin,overall
65,14,2.0,Putin,overall
66,1,221.0,Putin,overall
66,14,1.0,Putin,overall
67,1,664.0,Putin,overall
67,14,34.0,Putin,overall
68,1,691.0,Putin,overall
68,14,49.0,Putin,overall
69,1,72.0,Putin,overall
69,14,1.0,Putin,overall
70,14,0.0,Putin,overall
71,1,8.0,Putin,overall
71,14,3.0,Putin,overall
72,1,548.0,Putin,overall
72,14,1.0,Putin,overall
73,1,323.0,Putin,overall
73,14,16.0,Putin,overall
74,1,775.0,Putin,overall
74,14,22.0,Putin,overall
75,1,634.0,Putin,overall
75,14,12.0,Putin,overall
76,1,669.0,Putin,overall
76,14,30.0,Putin,overall
77,1,735.0,Putin,overall
77,14,15.0,Putin,overall
78,1,12.0,Putin,overall
78,14,0.0,Putin,overall
79,1,627.0,Putin,overall
79,14,21.0,Putin,overall
80,1,22.0,Putin,overall
80,14,0.0,Putin,overall
81,1,63.0,Putin,overall
81,14,1.0,Putin,overall
82,1,63.0,Putin,overall
82,14,0.0,Putin,overall
83,1,779.0,Putin,overall
83,14,0.0,Putin,overall
84,1,35.0,Putin,overall
84,14,40.0,Putin,overall
85,1,346.0,Putin,overall
85,14,10.0,Putin,overall
86,1,477.0,Putin,overall
86,14,7.0,Putin,overall
87,1,565.0,Putin,overall
87,14,5.0,Putin,overall
89,1,524.0,Putin,overall
89,14,3.0,Putin,overall
90,1,416.0,Putin,overall
90,14,3.0,Putin,overall
91,1,596.0,Putin,overall
91,14,32.0,Putin,overall
92,1,611.0,Putin,overall
92,14,18.0,Putin,overall
93,1,525.0,Putin,overall
93,14,28.0,Putin,overall
94,1,661.0,Putin,overall
94,14,0.0,Putin,overall
