month,outlet_name,conflict_name,death_reporting_count,human_rights_violations_count,id,death_report_percentage,hr_violation_percentage,article_count,normalized_death_report,normalized_hr_violation
2020-01,Associated Press (AP),Israel-Palestine Conflict,2.0,2.0,2,100.0,100.0,60,0.03333333333333333,0.03333333333333333
2020-01,Bloomberg,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0,60,0.016666666666666666,0.0
2020-01,BuzzFeed News,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0,60,0.0,0.0
2020-01,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,0.0,0.0,3,0.0,0.0,60,0.0,0.0
2020-01,Council on Foreign Relations,Israel-Palestine Conflict,3.0,6.0,3,100.0,200.0,60,0.05,0.1
2020-01,Council on Foreign Relations,Russian Invasion of Ukraine,0.0,1.0,1,0.0,100.0,8,0.0,0.125
2020-01,Der Spiegel,Israel-Palestine Conflict,28.0,4.0,6,466.6666666666667,66.66666666666666,60,0.4666666666666667,0.06666666666666667
2020-01,Der Spiegel,Russian Invasion of Ukraine,3.0,10.0,3,100.0,333.33333333333337,8,0.375,1.25
2020-01,Deutsche Welle,Israel-Palestine Conflict,0.0,2.0,1,0.0,200.0,60,0.0,0.03333333333333333
2020-01,El Confidencial,Israel-Palestine Conflict,2.0,0.0,1,200.0,0.0,60,0.03333333333333333,0.0
2020-01,Financial Times,Israel-Palestine Conflict,4.0,5.0,3,133.33333333333331,166.66666666666669,60,0.06666666666666667,0.08333333333333333
2020-01,Foreign Policy,Israel-Palestine Conflict,23.0,5.0,2,1150.0,250.0,60,0.38333333333333336,0.08333333333333333
2020-01,France 24,Israel-Palestine Conflict,0.0,0.0,1,0.0,0.0,60,0.0,0.0
2020-01,Human Rights Watch reports,Israel-Palestine Conflict,3.0,0.0,1,300.0,0.0,60,0.05,0.0
2020-01,Just Security,Russian Invasion of Ukraine,1.0,0.0,1,100.0,0.0,8,0.125,0.0
2020-01,Kommersant,Israel-Palestine Conflict,1.0,0.0,1,100.0,0.0,60,0.016666666666666666,0.0
