month,outlet_name,conflict_name,sentiment_category,sentiment,sentiment_score,article_count,normalized_sentiment_score
2020-01,Associated Press (AP),Israel-Palestine Conflict,"{'negative': 1, 'neutral': 1}",-0.0714285714285714,-0.5,60,-0.008333333333333333
2020-01,Bloomberg,Israel-Palestine Conflict,{'neutral': 1},0.0152777777777777,0.0,60,0.0
2020-01,BuzzFeed News,Israel-Palestine Conflict,{'positive': 1},0.0864010989010989,1.0,60,0.016666666666666666
2020-01,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,{'neutral': 3},-0.0171717171717171,0.0,60,0.0
2020-01,Council on Foreign Relations,Israel-Palestine Conflict,"{'neutral': 2, 'positive': 1}",0.12017045454545455,0.3333333333333333,60,0.005555555555555555
2020-01,Council on Foreign Relations,Russian Invasion of Ukraine,{'neutral': 1},0.0478903516574749,0.0,8,0.0
2020-01,Der Spiegel,Israel-Palestine Conflict,"{'neutral': 4, 'positive': 2}",0.06683652912061687,0.3333333333333333,60,0.005555555555555555
2020-01,Der Spiegel,Russian Invasion of Ukraine,{'neutral': 3},-0.0017533756190898653,0.0,8,0.0
2020-01,Deutsche Welle,Israel-Palestine Conflict,{'positive': 1},0.0859036796536796,1.0,60,0.016666666666666666
2020-01,El Confidencial,Israel-Palestine Conflict,{'neutral': 1},0.0213095238095238,0.0,60,0.0
2020-01,Financial Times,Israel-Palestine Conflict,{'neutral': 3},0.005430869156173149,0.0,60,0.0
2020-01,Foreign Policy,Israel-Palestine Conflict,"{'neutral': 1, 'negative': 1}",-0.033780116428553955,-0.5,60,-0.008333333333333333
2020-01,France 24,Israel-Palestine Conflict,{'positive': 1},0.08,1.0,60,0.016666666666666666
2020-01,Human Rights Watch reports,Israel-Palestine Conflict,{'neutral': 1},0.0356060606060606,0.0,60,0.0
2020-01,Just Security,Russian Invasion of Ukraine,{'neutral': 1},0.0499999999999999,0.0,8,0.0
2020-01,Kommersant,Israel-Palestine Conflict,{'positive': 1},0.0545401176715609,1.0,60,0.016666666666666666
2020-01,La Croix,Israel-Palestine Conflict,"{'neutral': 1, 'positive': 1}",0.32344926260180495,0.5,60,0.008333333333333333
2020-01,Los Angeles Times,Israel-Palestine Conflict,{'positive': 1},0.081734994624513,1.0,60,0.016666666666666666
2020-01,NPR,Israel-Palestine Conflict,{'neutral': 1},,0.0,60,0.0
2020-01,RT (Russia Today),Israel-Palestine Conflict,"{'neutral': 4, 'positive': 1}",0.06990001510834841,0.2,60,0.0033333333333333335
2020-01,Sky News,Israel-Palestine Conflict,{'neutral': 1},-0.0308862433862433,0.0,60,0.0
2020-01,TASS,Russian Invasion of Ukraine,{'negative': 1},-0.1166666666666666,-1.0,8,-0.125
2020-01,Tasnim News Agency,Israel-Palestine Conflict,"{'positive': 2, 'neutral': 1}",0.07812547241118667,0.6666666666666666,60,0.01111111111111111
2020-01,The Atlantic,Russian Invasion of Ukraine,{'neutral': 1},,0.0,8,0.0
2020-01,The Daily Telegraph,Israel-Palestine Conflict,{'neutral': 1},-0.0231481481481481,0.0,60,0.0
2020-01,The Economist,Israel-Palestine Conflict,{'neutral': 1},-0.0475653594771241,0.0,60,0.0
2020-01,The Globe and Mail,Israel-Palestine Conflict,{'neutral': 1},,0.0,60,0.0
2020-01,The Guardian,Israel-Palestine Conflict,{'neutral': 1},-0.018339088816188,0.0,60,0.0
2020-01,The Hill,Israel-Palestine Conflict,{'positive': 1},0.0679341029341029,1.0,60,0.016666666666666666
2020-01,The Independent,Israel-Palestine Conflict,"{'positive': 2, 'neutral': 1}",0.07119012090602993,0.6666666666666666,60,0.01111111111111111
2020-01,The Intercept,Israel-Palestine Conflict,"{'negative': 1, 'neutral': 1}",-0.0878968253968254,-0.5,60,-0.008333333333333333
2020-01,The Japan Times,Israel-Palestine Conflict,{'positive': 1},0.0614208342826763,1.0,60,0.016666666666666666
2020-01,The New York Times,Israel-Palestine Conflict,{'neutral': 2},0.02582961309523805,0.0,60,0.0
2020-01,The New York Times,Russian Invasion of Ukraine,{'neutral': 1},0.0487547892720306,0.0,8,0.0
2020-01,The South China Morning Post,Israel-Palestine Conflict,{'neutral': 1},,0.0,60,0.0
2020-01,The Sun,Israel-Palestine Conflict,{'positive': 1},0.1293998182887071,1.0,60,0.016666666666666666
2020-01,The Washington Post,Israel-Palestine Conflict,{'positive': 2},0.095515873015873,1.0,60,0.016666666666666666
2020-01,Vox,Israel-Palestine Conflict,"{'neutral': 2, 'negative': 1, 'positive': 1}",-0.029166666666666664,0.0,60,0.0
2020-02,Arab News,Israel-Palestine Conflict,{'neutral': 1},,0.0,47,0.0
2020-02,BuzzFeed News,Israel-Palestine Conflict,{'positive': 1},0.0601859724729679,1.0,47,0.02127659574468085
2020-02,BuzzFeed News,Russian Invasion of Ukraine,{'neutral': 1},-0.0012554112554112,0.0,10,0.0
2020-02,Carnegie Endowment for International Peace publications,Israel-Palestine Conflict,"{'neutral': 2, 'negative': 1}",-0.027827380952380947,-0.3333333333333333,47,-0.0070921985815602835
2020-02,China Daily,Israel-Palestine Conflict,{'neutral': 1},-0.0075572047000618,0.0,47,0.0
2020-02,Council on Foreign Relations,Israel-Palestine Conflict,"{'neutral': 1, 'positive': 1}",0.11151555991178635,0.5,47,0.010638297872340425
2020-02,Council on Foreign Relations,Russian Invasion of Ukraine,{'positive': 1},0.0514822809797684,1.0,10,0.1
2020-02,Deutsche Welle,Israel-Palestine Conflict,{'neutral': 1},0.0444128787878787,0.0,47,0.0
