outlet_name,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
ABC,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1
ABC News,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Al Jazeera,12,2,2,6,24,56,3,28,3,20,5,39,28,76,10,10,46,9,5,17
Amnesty International publications,3,0,0,1,10,39,1,5,14,7,0,10,5,25,7,3,16,10,10,17
Arab News,31,0,3,0,49,60,21,4,35,53,2,53,31,71,39,2,53,51,8,56
Associated Press (AP),26,3,1,0,61,93,27,7,21,0,1,63,21,49,7,16,57,39,5,20
BBC News,10,5,13,3,4,57,2,12,4,13,16,23,25,49,7,2,35,12,13,18
Bloomberg,7,3,3,0,49,80,7,9,12,0,29,24,38,76,32,9,40,15,3,45
CBC News,17,0,1,0,15,98,6,0,5,0,0,6,8,47,3,5,21,3,3,6
CBS News,7,1,0,0,55,92,2,0,7,0,0,6,2,44,1,0,10,2,2,25
CCTV (China Central Television),1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNN ,14,6,1,0,39,86,4,2,2,0,0,19,22,39,4,1,31,5,2,11
Carnegie Endowment for International Peace publications,16,0,0,1,14,44,1,0,6,13,0,18,33,21,17,5,28,8,4,10
Channel 4 News,2,0,0,0,0,44,0,0,1,0,0,8,1,23,0,1,7,1,3,1
China Daily,13,0,0,0,22,80,1,1,0,2,0,7,0,25,3,0,21,15,0,15
Council on Foreign Relations,4,6,0,2,20,46,20,3,4,4,1,17,5,26,18,5,13,11,6,17
Daily Mail,10,11,0,1,30,91,2,1,44,34,1,9,12,100,13,8,28,12,7,26
Dawn,20,0,0,0,36,90,8,0,7,2,0,6,5,34,3,0,25,14,2,7
Der Spiegel,0,0,0,0,2,8,0,0,3,0,0,1,2,16,0,0,0,1,0,0
Deutsche Welle,17,1,8,7,8,85,4,24,5,26,7,30,49,45,4,3,55,21,14,13
El Mundo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
El País,40,0,0,0,28,76,0,2,6,12,0,7,14,31,6,3,24,28,4,29
Evening Standard,6,1,0,0,32,83,0,0,8,3,1,1,5,25,5,0,30,7,0,20
Financial Times,10,3,3,0,16,63,6,5,11,40,25,8,33,74,11,7,7,7,9,21
Foreign Affairs,4,0,0,0,8,50,3,0,2,4,0,13,7,31,1,3,13,3,7,14
Foreign Policy,4,6,2,0,20,64,5,9,3,8,0,8,16,23,4,0,18,10,9,9
Fox News,21,2,1,0,63,93,12,2,17,0,2,25,4,47,4,2,51,19,4,11
France 24,6,3,13,8,16,66,14,16,2,10,2,25,41,36,7,1,53,11,6,12
Global Times,5,0,0,0,5,81,2,0,1,5,0,11,1,17,0,0,21,7,1,3
Haaretz ,47,0,0,0,56,68,3,0,12,5,0,11,17,23,11,5,40,18,7,31
Human Rights Watch reports,3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,2,1,3,0
IRNA (Islamic Republic News Agency),1,0,0,0,0,19,2,0,2,1,0,0,1,1,1,0,1,0,0,3
ITV News,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,1
Institute for International Strategic Studies (IISS) publications,11,0,0,0,6,10,7,0,2,1,0,31,4,30,1,0,16,8,2,1
Interfax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
International Affairs,1,0,0,3,4,4,0,1,1,1,0,5,0,6,0,0,1,4,0,1
International Crisis Group reports,9,0,1,5,10,32,5,4,6,13,6,10,6,12,1,0,18,7,11,4
Jane’s Defence Weekly,5,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,2,0,0,0
Just Security,20,0,0,1,23,49,0,1,20,5,0,18,3,23,6,6,15,32,5,14
La Croix,8,0,0,2,12,78,0,2,1,6,0,4,4,58,1,0,15,3,8,0
La Razón,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La Vanguardia,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Lawfare Blog,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Le Figaro,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Le Monde,34,1,2,0,45,78,1,19,38,26,2,16,48,47,13,1,32,41,22,57
Libération,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Los Angeles Times,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mediapart,0,0,0,0,0,7,0,0,10,0,0,0,0,7,0,0,0,2,0,0
Metro,29,1,0,0,3,79,2,0,1,1,0,0,4,26,3,1,11,21,0,7
People's Daily,9,0,0,0,2,29,0,0,1,0,0,1,0,6,0,0,6,4,1,1
Press TV,59,1,0,0,25,74,20,0,23,11,0,8,13,63,13,1,49,79,5,42
ProPublica,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RT (Russia Today),51,0,1,0,15,41,18,3,6,44,1,1,9,84,6,0,24,16,4,6
RTVE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Radio France Internationale (RFI),13,0,9,7,33,68,6,24,4,19,3,12,40,39,13,3,43,34,6,33
Reuters,24,19,7,5,45,97,16,25,22,0,3,49,49,75,20,11,55,26,7,24
Sky News,8,1,0,0,15,77,3,0,22,11,0,15,13,25,18,1,18,6,2,17
TASS,72,0,0,0,50,46,0,0,6,50,0,0,16,68,0,0,12,27,0,11
Tasnim News Agency,3,0,0,0,3,63,3,0,0,0,0,1,5,34,0,0,17,6,0,8
The Atlantic,6,1,0,0,8,43,0,0,3,0,0,5,1,9,1,2,6,2,3,7
The Conversation UK,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
The Daily Telegraph,10,0,0,0,26,91,2,6,8,41,1,20,34,68,14,8,29,6,6,35
The Diplomat,14,0,0,0,6,58,9,0,7,5,1,48,8,21,6,0,11,7,1,24
The Economist,7,0,0,0,14,65,3,2,2,6,0,14,15,35,6,4,15,6,13,21
The Globe and Mail,12,1,0,0,23,96,1,0,11,2,0,35,8,76,1,4,38,12,10,11
The Guardian,15,0,5,4,11,61,1,8,5,24,1,21,46,83,8,1,38,9,9,14
The Guardian International Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
The Hill,17,2,0,0,65,78,2,0,21,0,1,66,10,52,19,9,38,15,9,41
The Hindu,33,0,0,0,48,100,25,2,10,36,0,74,9,97,3,4,39,41,5,10
The Independent,3,9,1,1,23,54,15,0,4,15,2,46,29,52,7,5,22,2,3,2
The Intercept,8,0,0,0,14,49,5,0,8,0,0,3,1,5,7,1,5,9,0,5
The International New York Times,0,0,0,0,1,1,0,0,0,0,0,1,0,23,0,0,1,2,0,1
The Japan Times,14,0,0,0,11,81,2,0,3,2,2,26,8,55,0,1,38,13,1,20
The Jerusalem Post,25,0,1,0,70,67,3,1,10,5,1,12,22,41,10,16,32,40,3,38
The Mirror,35,0,0,0,31,80,1,0,4,9,0,5,3,45,3,2,46,25,0,13
The New Statesman,14,0,0,0,3,59,0,0,3,5,0,3,3,22,0,0,7,11,1,10
The New York Times,7,6,0,0,17,63,3,3,3,0,4,18,24,27,6,1,18,2,3,21
The Observer,2,0,0,0,0,4,0,0,2,0,1,0,0,12,0,0,1,2,0,0
The South China Morning Post,9,0,0,0,28,89,11,0,14,6,0,30,17,48,8,1,20,12,6,36
The Spectator,22,0,0,0,7,62,1,0,4,3,0,4,2,22,2,0,5,24,0,18
The Straits Times,39,0,0,0,28,69,8,2,6,1,0,63,5,100,0,8,14,21,2,6
The Sun,46,7,0,0,22,75,1,0,3,7,0,2,4,63,7,1,23,38,0,14
The Sunday Times,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Sydney Morning Herald,4,0,0,0,16,98,1,0,6,2,0,11,1,60,0,3,6,4,0,5
The Times,11,3,0,1,28,75,1,0,11,12,0,15,10,59,11,4,30,9,5,32
The Times of India,27,0,2,0,83,90,23,2,11,19,1,38,7,77,4,8,48,57,1,22
The Washington Post,6,2,0,1,20,66,3,0,6,0,0,24,26,37,7,6,21,4,8,23
USA Today,7,0,0,0,36,81,0,1,0,0,0,6,1,42,0,1,8,0,0,3
Vox,6,0,0,0,12,31,2,0,2,0,0,5,2,12,1,1,12,0,3,14
Xinhua News Agency,38,1,0,1,5,77,0,13,0,2,0,1,1,24,2,2,51,55,4,15
