outlet_name,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
ABC,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72727272727273,0.0,0.0,0.0,9.090909090909092,0.0,9.090909090909092
ABC News,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Jazeera,2.9925187032418954,0.4987531172069825,0.4987531172069825,1.4962593516209477,5.985037406483791,13.96508728179551,0.7481296758104738,6.982543640897755,0.7481296758104738,4.987531172069826,1.2468827930174564,9.72568578553616,6.982543640897755,18.952618453865338,2.493765586034913,2.493765586034913,11.471321695760599,2.2443890274314215,1.2468827930174564,4.239401496259352
Amnesty International publications,1.639344262295082,0.0,0.0,0.546448087431694,5.46448087431694,21.311475409836063,0.546448087431694,2.73224043715847,7.650273224043716,3.825136612021858,0.0,5.46448087431694,2.73224043715847,13.661202185792352,3.825136612021858,1.639344262295082,8.743169398907105,5.46448087431694,5.46448087431694,9.289617486338798
Arab News,4.983922829581994,0.0,0.482315112540193,0.0,7.877813504823152,9.646302250803858,3.376205787781351,0.6430868167202572,5.627009646302251,8.520900321543408,0.3215434083601286,8.520900321543408,4.983922829581994,11.414790996784566,6.270096463022508,0.3215434083601286,8.520900321543408,8.19935691318328,1.2861736334405145,9.003215434083602
Associated Press (AP),5.029013539651837,0.5802707930367506,0.19342359767891684,0.0,11.798839458413926,17.988394584139265,5.222437137330754,1.3539651837524178,4.061895551257253,0.0,0.19342359767891684,12.18568665377176,4.061895551257253,9.477756286266924,1.3539651837524178,3.0947775628626695,11.02514506769826,7.543520309477756,0.9671179883945842,3.8684719535783367
BBC News,3.0959752321981426,1.5479876160990713,4.024767801857585,0.9287925696594427,1.238390092879257,17.647058823529413,0.6191950464396285,3.7151702786377707,1.238390092879257,4.024767801857585,4.953560371517028,7.120743034055728,7.739938080495357,15.170278637770899,2.1671826625387,0.6191950464396285,10.8359133126935,3.7151702786377707,4.024767801857585,5.572755417956656
Bloomberg,1.4553014553014554,0.6237006237006237,0.6237006237006237,0.0,10.187110187110187,16.632016632016633,1.4553014553014554,1.8711018711018712,2.494802494802495,0.0,6.029106029106029,4.98960498960499,7.900207900207901,15.800415800415802,6.652806652806653,1.8711018711018712,8.316008316008316,3.118503118503119,0.6237006237006237,9.355509355509357
CBC News,6.967213114754098,0.0,0.4098360655737705,0.0,6.147540983606557,40.16393442622951,2.459016393442623,0.0,2.0491803278688523,0.0,0.0,2.459016393442623,3.278688524590164,19.262295081967213,1.2295081967213115,2.0491803278688523,8.60655737704918,1.2295081967213115,1.2295081967213115,2.459016393442623
CBS News,2.734375,0.390625,0.0,0.0,21.484375,35.9375,0.78125,0.0,2.734375,0.0,0.0,2.34375,0.78125,17.1875,0.390625,0.0,3.90625,0.78125,0.78125,9.765625
