ownership,Afghanistan Conflict,Boko Haram Insurgency (Nigeria),Burkinabe Insurgency,Cameroonian Anglophone Crisis,Colombian Conflict,Israel-Palestine Conflict,Kashmir Conflict (India/Pakistan),Kivu Conflict (DRC),Libyan Civil War,Malian Conflict,Mozambican Insurgency,Myanmar Civil War,Nagorno-Karabakh Conflict,Russian Invasion of Ukraine,Somali Civil War,South Sudanese Civil War,Sudanese Conflict,Syrian Civil War,Tigray War (Ethiopia),Yemeni Civil War
"Independent, non-profit international research institute.",8.461538461538462,0.0,0.0,0.0,4.615384615384616,7.6923076923076925,5.384615384615385,0.0,1.5384615384615385,0.7692307692307693,0.0,23.846153846153847,3.076923076923077,23.076923076923077,0.7692307692307693,0.0,12.307692307692308,6.153846153846154,1.5384615384615385,0.7692307692307693
Operated by The Lawfare Institute in cooperation with the Brookings Institution.,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0
"Published by Chatham House, an independent policy institute.",3.125,0.0,0.0,9.375,12.5,12.5,0.0,3.125,3.125,3.125,0.0,15.625,0.0,18.75,0.0,0.0,3.125,12.5,0.0,3.125
"Published by the Council on Foreign Relations, a non-profit think tank.",2.4539877300613497,0.0,0.0,0.0,4.9079754601226995,30.67484662576687,1.8404907975460123,0.0,1.2269938650306749,2.4539877300613497,0.0,7.975460122699387,4.294478527607362,19.018404907975462,0.6134969325153374,1.8404907975460123,7.975460122699387,1.8404907975460123,4.294478527607362,8.588957055214724
non-profit organization,5.430242272347535,0.5012531328320802,0.0835421888053467,0.835421888053467,7.852965747702589,21.97159565580618,2.6733500417710943,1.086048454469507,4.845446950710109,3.508771929824561,0.5847953216374269,6.432748538011696,4.427736006683375,9.85797827903091,4.761904761904762,1.670843776106934,8.103592314118629,6.516290726817042,3.258145363408521,5.597326649958228
privately owned,5.403062698642011,0.6428777809881537,0.23114706732158338,0.10835018780699221,9.361456226524126,23.6203409419243,1.7336030049118754,0.8234614273331408,3.1854955215255707,2.903785033227391,0.5850910141577579,6.631031493787923,4.630164692285467,15.81912741982086,2.304247327362034,1.1340652990465183,8.169604160647213,5.056342097659636,1.3941057497832996,6.262640855244149
state-funded,2.9925187032418954,0.4987531172069825,0.4987531172069825,1.4962593516209477,5.985037406483791,13.96508728179551,0.7481296758104738,6.982543640897755,0.7481296758104738,4.987531172069826,1.2468827930174564,9.72568578553616,6.982543640897755,18.952618453865338,2.493765586034913,2.493765586034913,11.471321695760599,2.2443890274314215,1.2468827930174564,4.239401496259352
state-funded but independently operated,4.431017119838873,0.6042296072507553,2.2155085599194364,1.0070493454179255,2.719033232628399,24.169184290030213,1.2084592145015105,3.625377643504532,1.4098690835850958,3.927492447129909,2.3162134944612287,5.94159113796576,8.25780463242699,14.19939577039275,1.4098690835850958,1.0070493454179255,11.178247734138973,3.625377643504532,3.0211480362537766,3.726082578046324
state-owned,9.973948641607741,0.18608113137327875,0.8559732043170823,0.5954596203944921,6.438407145515444,21.771492370673613,2.344622255303312,2.1213248976553776,1.6747301823595087,5.359136583550428,0.22329735764793449,2.4562709341272795,4.540379605508002,13.509490137700036,1.6747301823595087,0.2605135839225903,10.532192035727578,9.229624116114627,1.0048381094157053,5.24748790472646
state-owned but independently operated,2.1739130434782608,0.0,0.0,0.0,0.0,47.82608695652174,0.0,0.0,1.0869565217391304,0.0,0.0,8.695652173913043,1.0869565217391304,25.0,0.0,1.0869565217391304,7.608695652173914,1.0869565217391304,3.260869565217391,1.0869565217391304
