conflict_name,count
Israel-Palestine Conflict,4522
Russian Invasion of Ukraine,2980
Sudanese Conflict,1705
Colombian Conflict,1632
Myanmar Civil War,1216
Afghanistan Conflict,1156
Yemeni Civil War,1146
Syrian Civil War,1087
Nagorno-Karabakh Conflict,938
Malian Conflict,653
Libyan Civil War,567
Somali Civil War,448
Kashmir Conflict (India/Pakistan),360
Tigray War (Ethiopia),306
Kivu Conflict (DRC),249
South Sudanese Civil War,208
Mozambican Insurgency,122
Boko Haram Insurgency (Nigeria),108
Burkinabe Insurgency,80
Cameroonian Anglophone Crisis,60
