conflict_name,count
Russian Invasion of Ukraine,16.69283567359024
Israel-Palestine Conflict,13.485263110672468
Afghanistan Conflict,11.888206002422502
Syrian Civil War,11.632497420483604
Colombian Conflict,8.469786012291957
Sudanese Conflict,7.415548876228074
Yemeni Civil War,5.589699878874882
Myanmar Civil War,4.764254631914225
Malian Conflict,3.6068368399802613
Libyan Civil War,3.427392221075771
Nagorno-Karabakh Conflict,3.3645866044591988
Somali Civil War,2.7679332466017676
Tigray War (Ethiopia),2.0008075007850703
Kashmir Conflict (India/Pakistan),1.579112646359517
Kivu Conflict (DRC),1.1080705217352294
South Sudanese Civil War,0.9914315194473106
Boko Haram Insurgency (Nigeria),0.4530976627338388
Mozambican Insurgency,0.3902920461172671
Burkinabe Insurgency,0.2332780045758378
Cameroonian Anglophone Crisis,0.1390695796509802
